method,model,features_set,split_type,graph_mode,in_channels,round,n_labeled,n_licit,n_illicit,best_val_f1,best_test_f1,auprc_val,best_epoch,stop_epoch,final_lr,best_threshold,total_time_sec,mean_epoch_time_sec
entropy,AL-GCN,local,temporal,dag,94,1,20,18,2,0.415,0.1934,0.1107,5,13,0.005,0.75,4.38,0.31
entropy,AL-GCN,local,temporal,dag,94,2,120,99,21,0.4414,0.1957,0.0918,1,9,0.005,0.65,3.24,0.33
entropy,AL-GCN,local,temporal,dag,94,3,220,186,34,0.5016,0.2356,0.1663,8,16,0.005,0.75,5.94,0.35
entropy,AL-GCN,local,temporal,dag,94,4,320,275,45,0.4975,0.2414,0.1178,15,23,0.005,0.8,8.24,0.35
entropy,AL-GCN,local,temporal,dag,94,5,420,360,60,0.463,0.2524,0.1756,4,12,0.005,0.6,4.34,0.33
entropy,AL-GCN,local,temporal,dag,94,6,520,444,76,0.4778,0.2883,0.1563,6,14,0.005,0.6,5.15,0.35
entropy,AL-GCN,local,temporal,dag,94,7,620,520,100,0.4687,0.2292,0.1231,7,15,0.005,0.55,5.31,0.34
entropy,AL-GCN,local,temporal,dag,94,8,720,596,124,0.505,0.224,0.1248,14,22,0.0025,0.55,7.98,0.35
entropy,AL-GCN,local,temporal,dag,94,9,820,673,147,0.5306,0.2538,0.1472,21,29,0.002,0.7,10.46,0.35
entropy,AL-GCN,local,temporal,dag,94,10,920,752,168,0.4555,0.2265,0.1085,9,17,0.005,0.5,6.14,0.34
entropy,AL-GCN,local,temporal,dag,94,11,1020,822,198,0.4063,0.2304,0.1039,5,13,0.005,0.45,4.76,0.34
random,AL-GCN,local,temporal,dag,94,1,20,18,2,0.415,0.1934,0.1107,5,13,0.005,0.75,4.77,0.34
random,AL-GCN,local,temporal,dag,94,2,120,109,11,0.35,0.1773,0.1112,22,30,0.0025,0.9,10.34,0.33
random,AL-GCN,local,temporal,dag,94,3,220,197,23,0.4214,0.2459,0.1486,30,38,0.002,0.9,13.53,0.35
random,AL-GCN,local,temporal,dag,94,4,320,280,40,0.4715,0.2627,0.1761,16,24,0.005,0.9,8.97,0.36
random,AL-GCN,local,temporal,dag,94,5,420,369,51,0.4775,0.2446,0.1628,7,15,0.01,0.85,5.59,0.35
