model,features_set,split_type,graph_mode,in_channels,best_val_f1,test_f1,auprc,best_threshold,best_epoch,stop_epoch,final_lr,total_time_sec,mean_epoch_time_sec
MLP,local,temporal,dag,94,0.8576,0.5695,0.439,0.65,37,52,0.0125,5.01,0.09
MLP,local,temporal,undirected,94,0.8605,0.5629,0.4893,0.75,23,38,0.00625,3.79,0.1
MLP,all,temporal,undirected,165,0.759,0.5029,0.4739,0.9,18,33,0.005000000000000001,3.33,0.1
MLP,all,temporal,dag,165,0.7368,0.4701,0.3971,0.75,10,25,0.00625,2.44,0.09
EVOLVEGCN,all,temporal,undirected,165,0.5227,0.4009,0.3101,0.55,46,61,0.0001,257.59,4.16
EVOLVEGCN,all,temporal,dag,165,0.6136,0.3982,0.3185,0.75,37,52,0.000125,233.53,4.42
GCN,all,temporal,undirected,165,0.5294,0.3586,0.3154,0.7,50,65,0.0025,7.78,0.12
EVOLVEGCN,local,temporal,undirected,94,0.612,0.3361,0.3832,0.85,74,89,0.0001,380.92,4.24
GCN,local,temporal,undirected,94,0.5934,0.3122,0.2921,0.85,65,80,0.002,8.43,0.1
DYSAT,local,temporal,dag,94,0.5088,0.3073,0.3828,0.9,53,68,5e-05,4011.73,58.23
DYSAT,all,temporal,dag,165,0.5,0.2799,0.3488,0.9,43,58,5e-05,3531.54,60.0
GCN,local,temporal,dag,94,0.513,0.2464,0.198,0.8,49,64,0.002,6.72,0.1
DYSAT,local,temporal,undirected,94,0.36,0.2105,0.1266,0.85,2,17,6.25e-05,999.73,55.76
GCN,all,temporal,dag,165,0.4273,0.2093,0.147,0.9,37,52,0.002,5.87,0.11
DYSAT,all,temporal,undirected,165,0.3405,0.1722,0.1403,0.8,1,16,6.25e-05,925.62,54.59
EVOLVEGCN,local,temporal,dag,94,0.3504,0.168,0.0799,0.75,11,26,0.000125,107.41,3.99
