model,features_set,split_type,graph_mode,in_channels,best_val_f1,test_f1,auprc,best_threshold,best_epoch,stop_epoch,final_lr
DYSAT,local,temporal,dag,94,0.5149,0.3539,0.3946,0.9,37,47,0.0005
DYSAT,all,temporal,dag,165,0.4899,0.3103,0.3708,0.9,30,40,0.0005
EVOLVEGCN,local,temporal,dag,94,0.2832,0.1295,0.0731,0.45,1,19,0.001
EVOLVEGCN,all,temporal,dag,165,0.3087,0.1674,0.0829,0.55,1,19,0.001
MLP,local,temporal,dag,94,0.1621,0.0914,0.048,0.6,11,21,0.05
MLP,all,temporal,dag,165,0.3251,0.1188,0.1085,0.8,4,14,0.1
GCN,local,temporal,dag,94,0.4708,0.2447,0.1951,0.8,21,31,0.002
GCN,all,temporal,dag,165,0.4315,0.2428,0.1643,0.85,10,20,0.005
DYSAT,local,temporal,undirected,94,0.5127,0.333,0.3842,0.9,39,49,0.0005
DYSAT,all,temporal,undirected,165,0.4931,0.306,0.3555,0.9,22,32,0.0005
EVOLVEGCN,local,temporal,undirected,94,0.2731,0.1273,0.0625,0.65,2,19,0.001
EVOLVEGCN,all,temporal,undirected,165,0.3022,0.1265,0.0571,0.45,1,19,0.001
MLP,local,temporal,undirected,94,0.3536,0.1578,0.0797,0.65,4,14,0.1
MLP,all,temporal,undirected,165,0.1724,0.0934,0.049,0.7,8,18,0.05
GCN,local,temporal,undirected,94,0.5875,0.3152,0.3515,0.85,64,74,0.002
GCN,all,temporal,undirected,165,0.5884,0.4099,0.3484,0.65,98,99,0.01
